iter	Passed	Remaining
0	63	63233
1	105	52544
2	148	49298
3	190	47366
4	237	47271
5	304	50369
6	363	51594
7	423	52509
8	494	54501
9	553	54834
10	601	54117
11	680	56018
12	721	54746
13	755	53209
14	788	51794
15	820	50489
16	863	49904
17	910	49663
18	938	48475
19	974	47764
20	1011	47139
21	1051	46736
22	1087	46203
23	1118	45491
24	1149	44825
25	1183	44327
26	1215	43787
27	1246	43261
28	1287	43095
29	1316	42580
30	1355	42374
31	1391	42090
32	1425	41777
33	1453	41304
34	1490	41105
35	1522	40765
36	1561	40647
37	1616	40922
38	1674	41259
39	1834	44027
40	1999	46775
41	2074	47322
42	2175	48427
43	2211	48057
44	2245	47652
45	2279	47270
46	2311	46868
47	2343	46485
48	2375	46101
49	2405	45713
50	2436	45345
51	2469	45014
52	2505	44760
53	2535	44417
54	2567	44106
55	2603	43884
56	2634	43578
57	2666	43311
58	2698	43034
59	2731	42795
60	2765	42567
61	2797	42320
62	2825	42020
63	2856	41771
64	2890	41572
65	2918	41301
66	2950	41086
67	3006	41207
68	3105	41904
69	3146	41808
70	3175	41546
71	3203	41287
72	3229	41011
73	3259	40784
74	3390	41811
75	3490	42437
76	3550	42563
77	3689	43612
78	3755	43780
79	3825	43996
80	3866	43873
81	3926	43961
82	3994	44136
83	4100	44711
84	4204	45262
85	4297	45669
86	4486	47083
87	4596	47637
88	4718	48295
89	4811	48646
90	4901	48960
91	4960	48957
92	5004	48807
93	5073	48895
94	5122	48798
95	5154	48542
96	5190	48315
97	5210	47956
98	5229	47594
99	5252	47272
100	5269	46904
101	5285	46537
102	5300	46164
103	5317	45810
104	5333	45462
105	5349	45115
106	5365	44775
107	5380	44439
108	5396	44112
109	5416	43822
110	5431	43502
111	5447	43187
112	5461	42873
113	5476	42562
114	5491	42261
115	5505	41957
116	5519	41658
117	5533	41363
118	5546	41064
119	5560	40774
120	5574	40496
121	5589	40225
122	5609	39995
123	5633	39799
124	5666	39663
125	5699	39536
126	5728	39376
127	5752	39190
128	5783	39050
129	5833	39038
130	5868	38930
131	5895	38767
132	5923	38613
133	5950	38454
134	5985	38348
135	6020	38250
136	6065	38206
137	6099	38096
138	6122	37922
139	6316	38802
140	6423	39133
141	6553	39599
142	6588	39482
143	6701	39836
144	6800	40101
145	6926	40513
146	6959	40386
147	7042	40540
148	7167	40936
149	7266	41175
150	7298	41035
151	7425	41426
152	7523	41652
153	7629	41912
154	7754	42276
155	7866	42560
156	7980	42851
157	8063	42968
158	8185	43293
159	8387	44032
160	8488	44233
161	8523	44091
162	8646	44398
163	8799	44855
164	8934	45213
165	8970	45066
166	9129	45536
167	9288	45999
168	9409	46265
169	9648	47106
170	9681	46935
171	9801	47182
172	10071	48147
173	10103	47963
